Sentence,Label
"Although it was late, she kept reading her book, and she finished it in one night.",Compound-Complex
John loves pizza.,Simple
"If you practice every day, you will become a better musician.",Complex
"Although she didn't feel well, she still attended the wedding.",Complex
The baby cries loudly.,Simple
"While the movie was playing, the baby started crying, and the parents had to leave the theater.",Compound-Complex
"As the clock struck midnight, the fireworks lit up the sky.",Complex
"Even though he had a fever, he attended the important meeting.",Complex
The cat meows.,Simple
"They argued about the decision, but neither would change their mind.",Compound
"We planned to travel, but the pandemic changed our plans.",Compound
"She loves to dance, and he enjoys playing guitar.",Compound
"I forgot to set my alarm, so I woke up late.",Compound
"While the sun was setting, the children played on the beach.",Complex
My dog barks loudly.,Simple
"Since the babysitter was running late, the parents had to wait, but they eventually made it to their dinner date.",Compound-Complex
"While the guests were arriving, the chef was still preparing the meal, and the waitstaff was setting the tables.",Compound-Complex
"If the weather improves, we will have a picnic this weekend.",Complex
"I forgot my keys, but my neighbor had a spare.",Compound
"Because it was his birthday, his friends threw him a surprise party, and they bought him a gift.",Compound-Complex
"While the children were playing, the rain began to fall, and the parents called them inside.",Compound-Complex
"After he heard the news, he called his family immediately.",Complex
"She loves chocolate, and he prefers vanilla.",Compound
Water flows downhill.,Simple
The car moves fast.,Simple
The doorbell rang.,Simple
"Although the teacher explained the concept clearly, some students were still confused, and they asked more questions.",Compound-Complex
The boy runs to the park.,Simple
"Since the water heater broke, they had to take cold showers, but a plumber was called to fix it.",Compound-Complex
"Since he missed the bus, John had to walk to school.",Complex
"Although the traffic was terrible, we still made it to the airport on time.",Complex
The train arrived late.,Simple
"Since they had no electricity, they used candles for light.",Complex
"Even if it rains tomorrow, the event will not be canceled.",Complex
"While the guests were arriving, the chef was preparing the main course.",Complex
My friend called.,Simple
She reads books.,Simple
The clock ticks.,Simple
The fish swims in the pond.,Simple
Birds fly in the sky.,Simple
"Although it rained heavily, the match continued as scheduled.",Complex
"Even though he apologized, she remained upset, and she refused to speak to him for days.",Compound-Complex
"You can take the bus, or you can walk to school.",Compound
"Since she forgot to set her alarm, she woke up late, and she missed the morning train.",Compound-Complex
"Before the teacher arrived, the students were chatting noisily.",Complex
"Since the project deadline was moved up, the team worked overtime, but they still missed the deadline.",Compound-Complex
"The show was entertaining, but the ending was disappointing.",Compound
The waiter serves the food.,Simple
She dances gracefully.,Simple
"Although she had never tried skydiving before, she agreed to do it, and she ended up loving it.",Compound-Complex
The wind blows gently.,Simple
"The power went out, so we used candles for light.",Compound
"Though he studied all night, he still failed the exam.",Complex
"Whenever he feels stressed, he goes for a long walk in the park.",Complex
"The house needs repairs, so we hired a contractor.",Compound
"Because the package was delayed, the customer demanded a refund.",Complex
"While the chef was cooking, the waiter took the orders, and the manager supervised the process.",Compound-Complex
The flowers smell nice.,Simple
"Though the hike was difficult, they reached the summit before noon.",Complex
"I called him twice, but he didn't answer.",Compound
"I wanted to go to the park, but it started raining.",Compound
"Once he found the missing key, he was able to unlock the door.",Complex
"The train was delayed, so we waited at the station.",Compound
The sun sets in the west.,Simple
"Even though the power was out, they used flashlights to search for supplies, and they found what they needed.",Compound-Complex
"Because his grades improved, he earned a scholarship, but he still had to pay for his textbooks.",Compound-Complex
"Once the storm passed, the villagers began rebuilding their homes.",Complex
"The crowd cheered loudly, and the band started playing.",Compound
"While the crowd was cheering, the player scored the winning goal, and the stadium erupted with joy.",Compound-Complex
"Although they trained for weeks, the team lost the championship, but their coach praised their effort.",Compound-Complex
"Because he studied diligently, John aced his exam, but he still felt nervous before it started.",Compound-Complex
"Even though the dog was scared of thunder, it stayed outside, and it barked loudly all night.",Compound-Complex
"As long as you believe in yourself, you can achieve anything.",Complex
"Although the proposal was rejected, they decided to revise it, and they planned to resubmit it next week.",Compound-Complex
"The students studied hard, yet some of them failed the exam.",Compound
The train stops at the station.,Simple
"Although it was raining, Sarah went to the store, and she bought some fresh bread.",Compound-Complex
"The oven was too hot, so the cookies burned.",Compound
"While the train was approaching, the passengers gathered at the platform, and the station attendant made announcements.",Compound-Complex
